211 ID #,Section,Name,Address,Phone,Email,Website,Hours of Operation,Details,Fees
,DENTAL,Allied Denture Clinic,,Downtown: 306-652-3041; 8th St: 306-933-3041; Confederation Dr: 306-373-3041,downtown@allieddenture.com; east@allieddenture.com; west@allieddenture.com,www.allieddenture.com,Mon-Thurs 7:30am-5pm; Friday 7:30am-12pm,"Allied Denture Clinic provides all denture services such as, complete dentures, implant supported dentures, immediate dentures, partial dentures, relines, repairs while you wait, whitening kits, night guards, and mouth guards. MOBILE Denture services available.","All insurance plans, CDCP, and third-party financing accepted. Fees vary depending on service provided, complimentary consultations offered."
,DENTAL,Brightside Dental Studio,#4 3602 Taylor St E Saskatoon SK S7H 5H9,306-955-4131,brightsidedentalstudio@gmail.com,www.brightsidedental.ca,Mon-Thurs 8am-5pm and Fri 8am-2pm closed Sat-Sun,"Brightside Dental Studio located on the east side of Saskatoon has been serving the community for over 5 years | We have two hygienists, one full-time and one part-time. They are both very experienced and have been in the industry for many years | Free parking in front and behind the building",
,DENTAL,"Dental Clinic, College of Dentistry, University of Saskatchewan",Dental Clinic Building 105 Wiggins Rd Saskatoon SK S7N 5E4,306-966-5056 Fax: 306-966-1795,studenttreatment.dentistry@usask.ca,https://dentistry.usask.ca,Mon-Fri 8:30am-4:30pm,"Dental services are provided by students at the College of Dentistry, under the supervision of licensed dentists | Appointments and emergency services are available",Are reduced up to 40% of those set out by the College of Dental Surgeons of Saskatchewan’s Fee Guide each year. All insurance and payment methods accepted.
,DISABILITY AWARENESS & SUPPORT,"Alzheimer Society of Saskatchewan, Saskatoon Resource Centre",101-1630 Quebec Ave. Saskatoon SK S7K 1V7,306-683-6322,saskatoon@alzheimer.sk.ca,www.alzheimer.ca/sk,Mon-Fri 8:30am-4:30pm,"The Alzheimer Society is here to support anyone affected by dementia—no diagnosis needed. Reach out for compassionate support and practical help every step of the way. Our services include: | One-on-one support, information on dementia and local resources, and support groups for people living with dementia and caregivers. | Join in-person, virtual, or phone-based groups to connect and share experiences. | Educational sessions provide practical strategies and resource information. | Minds in Motion® is a community program for those in early stages of dementia and their care partners, combining gentle exercise and mental activities. Offered in partnership with City of Saskatoon Leisure Services.",
,DISABILITY AWARENESS & SUPPORT,Saskatoon Post Polio Society,1705 McKercher Dr Saskatoon SK S7H 5N6,306-652-9644 Toll Free: 1-888-282-0186 Fax: 306-652-2957,sciinfo@scisask.ca,www.scisask.ca,Mon-Fri 8:30am-4:30pm,"There is no physical office, individuals are encouraged to phone or email to obtain information or support | A community to increase awareness, share information and participate in gathering opportunities | If your call is not answered, please leave a message and include that it is for the Post Polio Society. Your phone call will be returned. | Spinal Cord Injury Saskatchewan Inc | Rehabilitation: Counselling and Service Coordination; Peer Mentorship Support | Education and Employment Supports: Scholarship; Disability Accommodation; Wage Subsidies for Employers | Parascope Newsletter-Bi-annual | Awareness and Accessibility; Systems Navigation | Membership: $40 annual membership fee. Clients of SCI Saskatchewan are eligible to become members; benefits include SaskTel cellular plan and SGI Registration fee rebate",
,DISEASE MANAGEMENT AND RECOVERY,"Alzheimer Society of Saskatchewan, Saskatoon Resource Centre",101-1630 Quebec Ave. Saskatoon SK S7K 1V7,306-683-6322 Dementia Helpline: 1-877-949-4141,saskatoon@alzheimer.sk.ca,www.alzheimer.ca/sk,Mon-Fri 8:30am-4:30pm,"One-on-one support, information on dementia and local resources, and support groups for people living with dementia and caregivers. | Join in-person, virtual, or phone-based groups to connect and share experiences. | Educational sessions provide practical strategies and resource information. | Minds in Motion® is a community program for those in early stages of dementia and their care partners, combining gentle exercise and mental activities. Offered in partnership with City of Saskatoon Leisure Services.",
,DISEASE MANAGEMENT AND RECOVERY,Arthritis Society,,,info@arthritis.ca,www.arthritis.ca,,Arthritis support & education,
,DISEASE MANAGEMENT AND RECOVERY,Broadway Medical Group,1801 Broadway Ave Saskatoon SK S7H 2B6,306-244-2277,,,Mon- Friday 8:30-11:45am Services Resume From: 12:10pm-4pm(Closed Sat and Sun),,Insured through Saskatchewan Health
,DISEASE MANAGEMENT AND RECOVERY,Liver Canada,(National Office) Suite 203-3100 Steeles Ave East Markham ON L3R 8T3,416-491-3353 Toll Free: 1-800-563-5483,clf@liver.ca,www.liver.ca,,"Assists individuals coping with liver disease through resources, education, and support via the toll-free National Help LineThe only non-governmental organization devoted to providing support for research and education into the prevention and treatment for all forms of liver disease.Raise funds for research and reach out to liver disease patients and their families | Services in English and French",
,DISEASE MANAGEMENT AND RECOVERY,"Crohn's and Colitis Canada, Saskatoon Chapter","Box 28074, RPO Westgate Saskatoon SK S7M 5V8",1-844-664-4420,saskatchewan@crohnsandcolitis.ca,https://crohnsandcolitis.ca/Location/Saskatchewan/Saskatoon-Central-Saskatchewan,,"Pamphlets and information will be sent on request | Newsletter 3-4 times a year | Monthly chapter meetings | Annual Gutsy Walk: for more information, visit www.gutsywalk.ca | Online group peer support events and educational webinars",
,DISEASE MANAGEMENT AND RECOVERY,Diabetes Canada,,,info@diabetes.ca,www.diabetes.ca,,"Diabetes Research, resource library, advocacy, support, and education | Local programs and events | Virtual learning, tools & resources",
,DISEASE MANAGEMENT AND RECOVERY,Exercise Program for Stroke and Parkinson’s Disease,Saskatoon Field House 2020 College Dr Saskatoon SK S7N 2W4,306-655-4595 – call to schedule an appointment Fax: 306-655-4596,,,,"Improve joint mobility, coordination and balance and cardiovascular fitness | Improve control over gross motor movements such as walking and improve confidence in performing daily activities",Cost of programs is $30.00 per month; no charge for support person currently; subsidization available if finances are a concern
,DISEASE MANAGEMENT AND RECOVERY,"Heart & Stroke Foundation of Canada, Saskatchewan",,1-888-473-4636,,www.heartandstroke.ca,Pertains to phone lines,"Heart & Stroke leads the fight against heart disease, stroke, and related conditions. Our work is driven by collaboration – with volunteers and donors, researchers, people who have lived experience, healthcare professionals, governments and others | Health information, peer support online communities, health prevention e-tools, Community Connect newsletter, advocacy, health public policy, research, and stroke best practices | Please note: there is no in person office in Saskatchewan",
,DISEASE MANAGEMENT AND RECOVERY,The Kidney Foundation of Canada-Saskatchewan Branch,A3 116 103 St E Saskatoon SK S7N 1Y7,306-664-8588 Toll Free: 1-833-664-8588 Fax: 306-653-4883,info.sk@kidney.ca,www.kidney.ca,"Mon,Tues, and Fri- Available by phone, email or appointment. Wed & Thurs, office hours 10am-3pm","Peer support programs, newsletter | Funds research and clinical education for kidney related diseases | Information, advocacy, supports/promotes organ donation",
,DISEASE MANAGEMENT AND RECOVERY,LifeLabs,,1-888-333-0222 Fax: 306-655-4022,,www.lifelabs.com,"Mon-Fri 7am-6pm, Sat 7am-3pm",,
,DISEASE MANAGEMENT AND RECOVERY,TLC Mobile Labs,,1-306 291-7994 Fax: 1-306-974-4792,info@tlcmobilelab.com,https://tlcmobilelab.com/,"Mon to Fri 6:00 am to 4:00 pm, Saturdays & Sundays by appointment",Our company provides convenient at-your-door service for blood collection | You must have a requisition from your doctor to book an appointment,"$55 per appointment. A $30 cancellation fee may be applied for missed appointments, late cancellations, or missing requisitions. Applies to in city appointments only. For out of town, contact for pricing."
,DISEASE MANAGEMENT AND RECOVERY,Lung Saskatchewan,2308 Arlington Ave Saskatoon SK S7J 3L3,306-343-9511 Toll Free: 1-888-566-5864 Fax: 306-343-7007,info@lungsask.ca,www.lungsask.ca,Mon-Fri 8:30am-4:30pm,"Resource center, counseling, advocacy | Information to quit smoking | Asthma Trec, program for a certificate with Asthma education | Breathworks, program for information, resources and support for people with COPD, for information call 1-888-566-5864",
,DISEASE MANAGEMENT AND RECOVERY,MS Canada,,,,,,,
,DISEASE MANAGEMENT AND RECOVERY,Parkinson Canada- Saskatoon Support Group,TBD.,1-888-664-1974 Toll Free: 1-800-565-3000,support@parkinson.ca,https://www.parkinson.ca/care-finder/saskatoon-support-group/ or www.parkinson.ca,Mon-Fri 8:30am-4:30pm,The support group meets in person on the 2nd Monday of the month at 7:00 PM (except in February and July).,
,DISEASE MANAGEMENT AND RECOVERY,Persons Living with AIDS Network of Saskatchewan,127C Avenue D N Saskatoon SK S7L 1M5,306-373-7766 Toll Free: 1-800-226-0944 Fax: 306-374-7746,info@aidsnetworksaskatoon.ca,www.aidsnetworksaskatoon.ca,Mon-Fri 10am-4pm,"Provides care and confidential support services for persons who are living with HIV or AIDS; available also to care providers, family and friends | Resource center, advocacy/referrals, one on one support counselling, | Socializing activities, health and wellness guidance, elders meeting, HIV strategy, emergency hampers and hygiene supplies, HIV Rapid Testing offered daily during office hours | Drop-in center Monday-Friday: 10am-4:00pm",
,DISEASE MANAGEMENT AND RECOVERY,Saskatoon Osteoporosis Centre,#209 39-23rd St E Saskatoon SK S7K 0H6,306-933-2663 Fax: 306-665-0421,osteo.centre@sasktel.net,https://polmed.ca/departments/saskatoon-osteoporosis-centre,Mon-Thurs 8:30am-4pm,"Research clinic, bone density testing, works with rheumatologist, Dr. W. P. Olszynski, referral only",
,DISEASE MANAGEMENT AND RECOVERY,Saskatoon Stroke Recovery Association,"P.O. Box 32033,Saskatoon SK S7S 1N8",,stroke.recoverysaskatoon@gmail.com,,,"Programs: NEURO Exercise Program, Saskatoon Field House, Tues and Thurs afternoons 1 pm to 3:45 pm Call for more information 306-655-4595 Email: Next@saskhealthauthority.ca | Meetings: Group gatherings – First Monday of the month, [except stat holidays], 2 pm to 4 pm, St. Martin’s United Church 2617 Clarence Avenue",
,DISEASE MANAGEMENT AND RECOVERY,Thyroid Foundation of Canada,PO Box 298 Bath ON K0H 1G0,,info@thyroid.ca,www.thyroid.ca,,"The Thyroid Foundation of Canada is a non-profit registered volunteer organization whose mission is to support thyroid patients across Canada through awareness, education, and research. | Toll-free telephone line available to anyone in Canada: 1-800-267-8822. | Thyrobulletin, TFC’s official newsletter available to members. | TFC’s website offers medically approved thyroid information, webinars, and resources available to the public.",Membership is free of charge
,EDUCATION AND TRAINING,The Ability Hub YXE,237 5th Ave N Saskatoon SK S7K 2P3,306-665-5508,info@abilityhubyxe.ca,https://www.abilityhubyxe.ca/,"Mon-Fri 8:30am-4:30pm, Closed Sat-Sun",Entrepreneurs with Disabilities | Ability Hub YXE Program | Contact us to find out about various skill development programs | Peer Support every Tuesday online from 10-11:30,
,EDUCATION AND TRAINING,Foundations Learning and Skills Saskatchewan,Unit #2 - 706 Duchess St Saskatoon SK S7K 0R3,306-652-5448,hello@foundationslearning.com,https://www.foundationslearning.com/,Mon-Fri 8:30am-4:30pm,Adult one-to-one or group tutoring | Financial Literacy | Family Literacy programming | Children’s Literacy | Workshops and training,
,EDUCATION AND TRAINING,Saskatchewan Indian Institute of Technologies,100-103A Packham Ave Asimakaniseekan Askiy Reserve Saskatoon SK S7N 4K4,306-244-4460 Toll Free: 1-877-282-5622,info@siit.ca,www.siit.sk.ca,Mon-Thurs 8am-4:30pm; Fri 8am-4pm,"Programs in Business, Health & Community Studies, Trades & Industrial and Adult Basic Education",Tuition varies by program
,EDUCATION AND TRAINING,Saskatchewan Literacy Network Inc.,"#211a-3521 8th Street East, Saskatoon, SK, S7H 0W5",306-651-7288 Toll Free: 1-888-511-2111 Fax: 306-651-7287,office@saskliteracy.ca,www.saskliteracy.ca,Mon-Thurs 8:30am-4:00pm,"Training, workshops, literacy conferences | Family, adult and workplace literacy",
,EDUCATION AND TRAINING,Saskatchewan Polytechnic-Literacy and Adult Education,(Saskatoon Campus) 1130 Idylwyld Dr N Saskatoon SK S7K 3R5,306-659-4012 Toll Free: 1-866-467-4278,,www.saskpolytech.ca (search for literacy and adult education on webpage),Mon-Fri 8am-4:30pm,"Programs include literacy, adult 10 and adult 12; programs are daytime funded adult programs, evening adult online courses are also available from 6pm-9:30pm (funding available through SIS and SAID) | Information sessions held once a month on webpage",
,EDUCATION AND TRAINING,Saskatoon Public Library (Accessibility Services),Frances Morrison Central Library 311-23rd St E Saskatoon SK S7K 0J6,306-975-7565,access@saskatoonlibrary.ca,https://saskatoonlibrary.ca/services/accessibility-services/,,"Large print books, DAISY talking books, audiobooks, electronic resources, and special equipment for patrons | Home Reader service for people who cannot leave their homes | Library tours for people with disabilities and newcomers learning English",
,EDUCATION AND TRAINING,Saskatoon Public Library (Outreach Services),Frances Morrison Central Library 311-23rd St E Saskatoon SK S7K 0J6,,outreach@saskatoonlibrary.ca,https://saskatoonlibrary.ca/services/outreach-workers/,"Mon, Wed, Thurs & Fri 9am-12pm and 2pm-4pm; Tues 1pm-4pm","Help to navigate problems related to housing, mental health, addictions, crisis support, employment, income, or other confidential important needs | Can connect individuals to support services in the community through referrals",
,EDUCATION AND TRAINING,Saskatoon Seniors Continued Learning Inc.,"SSCL, Box 8695 Saskatoon SK S7K 6S5",306-343-6773,saskatoonseniorscl@gmail.com,https://artsandscience.usask.ca/noncredit/sscl.php,,"Non-credit classes for seniors. Classes are held in-person, online, and hybrid | Academic university courses in literary, political, scientific, history, religious and artistic courses for persons 55 years of age and older; Co-sponsorship with College of Arts and Science | Registration information can be found on the website | The course length is 8 weeks per session, and two-hour classes each week. Must be a SSCL member to enroll in classes | Sessions: Fall, Winter, and Spring","$5.00/year membership, $60.00/ for an in person or online course, and an additional $20 for hybrid option"
,EDUCATION AND TRAINING,St. John Ambulance Training Centre,301 Central Ave Saskatoon SK S7N 2E9,306-343-0041 Fax: 306-934-2667,sjasaskatoon@sja.ca,www.sja.ca,Mon-Fri 8am-4pm,"Volunteer Medical First Responder Services for the public and private events | Volunteer Therapy Dog Program | Courses offered: First Aid, Cardiopulmonary Resuscitation (CPR), Automated External Defibrillation (AED), Medical First Responder/Emergency Medical Responder, Wilderness First Aid, Babysitting, Home Alone, WHMIS, Personal Care Worker, Mental Health in the Workplace, Pet First Aid, Food Safe and Instructor.","Donations are requested for event coverage and talks, fees for company and individual training courses vary"
,EDUCATION AND TRAINING,Saskatoon Council on Aging (SCOA) - One-on-One Technology Training,2020 College Dr Saskatoon SK S7N 2W4 (Saskatoon Field House),306-652-2255,admin@scoa.ca,www.scoa.ca,,Learn on the device of your choice | SCOA staff assists with your questions | Fee: $40.00 for an hour and a half,
,EDUCATION AND TRAINING,The Refinery Arts and Spiritual Centre,609 Dufferin Ave Saskatoon SK S7N 1C4,"306-653-3549, contact for program dates and times",,www.emmanuelrefinery.org,,,"Dependent on class, call for more information"
,EDUCATION AND TRAINING,SOS Legacies,,1-306-270-4292,soslegacies@outlook.com,www.soslegacies.com,,Legacy Projects | Digital Storytelling | Life Writing | Workshops/Speaking,
,EDUCATION AND TRAINING,Ukrainian Museum of Canada,"910 Spadina Crescent East, Saskatoon, SK S7K 3H5 Head of Education: Maryna Ostroushko",306-244-3800 (ask for Maryna O) Email:education@umcnational.ca,,https://umcnational.ca/ Hours of Operation: Wednesday - Saturday 10:00 am - 5:00 pm,,,General admission is free - by donation + Various fees for workshops and programs
,END OF LIFE PLANNING AND SUPPORT,The Funeral Advisory and Memorial Society of Saskatchewan,"Box 1846, Saskatoon, SK S7K 3S2",306-374-5190 (Saskatoon) Toll Free: 1-866-283-2677 (Saskatchewan),info@famss.ca,https://famss.ca/,,"The Funeral Advisory and Memorial Society of Saskatchewan promotes and assists members in planning in advance of death for the disposition of members remains and any memorial services desired | Our non-profit Society carries on a continuing education program urging dignity, simplicity, and economy in funeral rites. | Speakers are available to address interested groups (free of charge)","Lifetime membership (for voting) $50.00/individual, other services are free for members"
,END OF LIFE PLANNING AND SUPPORT,Palliative Care Services,St. Paul's Hospital 1702-20th St W Saskatoon SK S7M 0Z9,306-655-5530 or 306-655-5868,,,24-hour service,Services to people who are terminally ill; focus is on comfort and quality of life | Support to families and symptom control | CPAS determines eligibility for palliative care services,
,END OF LIFE PLANNING AND SUPPORT,Prairie Hospice Society,#302-506 25th St E Saskatoon SK S7K 4A7,306-249-5554,office@prairiehospice.org,www.PrairieHospice.org,,"Compassionate non-medical care, companionship for those facing advancing illness, death and bereavement in the comfort of home | Respite, rides, and small errands can be booked through our Hospice Now program | Comprehensively trained volunteers offer up to 4 hours per week of services, free of charge | Referrals can be made through self, family, community organizations, or any part of the health care team simply by calling 306-249-5554",
,FALL PREVENTION,Staying On Your Feet – A Falls Prevention Balance and Education Program (SHA),103-310 Idylwyld Dr N Saskatoon SK S7L 0Z2,306-655-3418 Fax: 306-655-3430,sherri.wagenhoffer@saskhealthauthority.ca,www.in-motion.ca,,"Structured and progressive balance exercise program | Education on risk factors for falls, developing a personal safety plan, and other related health information | Program length: 1x/week for 10-12 weeks | Supported by Community Services, Community Older Adult, Primary Health, and Saskatoon Health Region | Fee: No cost for program, but participants are required to bring an exercise band (can be purchased for $5 you don’t have one)",
,FALL PREVENTION,Forever…in motion - Community Older Adult – Saskatchewan Health Authority,"Community Health Centre at Market Mall #55-2325 Preston Ave., Saskatoon SK, S7J 2G2",306-844-4080,foreverinmotion@saskhealthauthority.ca,https://www.saskhealthauthority.ca/your-health/conditions-diseases-services/forever-motion,,"What is Forever...in motion? | Safe physical activity classes for older adults led by staff or peer volunteer leaders that have taken the Forever…in motion training | Falls reduction and injury prevention through group physical activity programs | Classes are in seniors housing, community centers, churches, and condominiums | Time and length of classes vary depending on location | Either no or low cost to attend and depends on the site | Classes include endurance, strength, balance and flexibility components with a strong focus on falls reduction and injury prevention | Forever…in motion leader training offered at a very low cost for volunteers | Supported by the Community Older Adult team and the Saskatchewan Health Authority | Contact us to find out about a Forever…in motion site near you!",
,FINANCIAL SUPPORT SERVICES,Affinity Credit Union,902 7th Ave N Saskatoon SK S7K 3P4,1-866-863-6237,questions@affinitycu.ca,www.affinitycu.ca,,"Affinity Credit Union is a value-based, co-operative financial institution owned by more than 138,000 members-owners. We offer access to a complete range of accounts and services and are a leader in delivering digital banking solutions to our members. By choosing to bank with Affinity, our members know that every dollar they deposit is reinvested and circulated back into our local communities through loans to other members.",
,FINANCIAL SUPPORT SERVICES,Canada Revenue Agency (Income Tax),,Toll Free 1-800-959-8281,,https://www.canada.ca/en/services/taxes/income-tax.html,Mon-Fri 8am – 8pm,"Tax information for individuals, trusts, international tax and non-residents, including personal income tax returns, tax benefits (EI, CPP, OAS, GIS), installments, RRSPs, and Canadian Passports",
,FINANCIAL SUPPORT SERVICES,Canada Revenue Agency-Community Volunteer Income Tax Program (CVITP),,,,www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program/need-a-hand-complete-your-tax-return.html,Mon-Fri 9am-5pm,"In order to be eligible for the CVITP, individuals must have a modest income and a simple tax | This may include: adults 65 years and older; housing-insecure individuals; Indigenous peoples; newcomers; persons with disabilities as well as students",
,FINANCIAL SUPPORT SERVICES,Canadian Association of Retired Persons (CARP),National Head Office 70 Jefferson Ave Toronto ON M6K 1Y4,,support@carp.ca or SK@carp.ca,www.carp.ca,,"CARP Saskatchewan Chapter advocates for older adults to ensure a life of dignity, free from ageism, regardless of health, family or financial circumstance | Member discounts on over 100 everyday products and services from CARP’s trusted partners including: insurance, travel, medical, restaurants, products, etc. | Programming: | Fully-funded “Best in Class” Vaccinations for seniors | Advocating for the creation of an independent Office of the Seniors Advocate for Saskatchewan | Long Term Care, Community Care & Home Care reform | Financial/pension Protection | Coffee with CARP on-line presentations/open-mic sessions on topics of interest","1 year CARP Membership $19.95(Digital Card), $24.95 (Physical Card), 2 Year CARP Membership $29.95 (Digital Card), $34.95 (Physical Card)"
,FINANCIAL SUPPORT SERVICES,Consumer Association of Saskatchewan (CASK),,,office.cask@sasktel.net,https://consumersask.com,N/A,"The Consumer Association of Saskatchewan (CASK) is a not-for-profit, volunteer-based organization that represents and informs consumers and advocates action on their behalf. | CASK is committed to fairness in the marketplace and to improving the quality of life for all Saskatchewan consumers. | We inform and educate people about consumer rights and protection through our publication SaskWatch, reporting on many different topics including scams and identity theft, truth in advertising, being a conscientious consumer, financial issues or concerns, buying local, health and safety concerns and the environment. | CASK is based in Saskatoon and serves all of Saskatchewan.",Free
,FINANCIAL SUPPORT SERVICES,Drug Plan and Extended Benefits Branch-Saskatchewan,"2nd Floor 3475 Albert St, Regina SK S4S 6X6",306-787-3475 (Regina) Toll Free: 1-800-667-7523 Fax: 306-787-3761,info@health.gov.sk.ca,https://www.saskatchewan.ca/residents/health/prescription-drug-plans-and-health-coverage/extended-benefits-and-drug-plan,Mon-Fri 8am-5pm,"Drug Plan; special allowance if drug costs are high relative to client's income | Emergency assistance for people who can't afford the drugs they need | Palliative care coverage, patients can receive drugs for free | No-Substitution' Prescription drug coverage: people who can't use a particular brand of drug are eligible (need to apply and application is reviewed) | Expanded to provide assistance towards the cost of specialized nutritional products required by people with complex medical conditions, diabetic supplies | Provides Saskatchewan Aids to Independent Living (SAIL) Program benefits to eligible residents (Phone 306-787-7121) | Community Drug Utilization program to encourage appropriate use of drugs",
,FINANCIAL SUPPORT SERVICES,Jam Jam Tax,Unit 4 & 5-1205 Walpole Ave Saskatoon SK S7H 2X2,(306) 241-0316,info@jamjamtax.ca,www.jamjamtax.ca,"Mon- Fri 9am-8pm, Sat-Sun 11am-6pm",Income tax services | Accounting and bookkeeping | Payroll services | Notary Public,
,FINANCIAL SUPPORT SERVICES,Saskatoon Services for Seniors-Volunteer Tax Preparation,#103-115 19th St E Saskatoon SK S7K 7Y8,306-668-2762,saskatoonservices4seniors@sasktel.net,http://saskatoonservicesforseniors.ca/seniors-tax-preparation/,Mon-Fri 8am-5pm (closed from 12pm-1pm),"Saskatoon Services for Seniors in conjunction with Canada Revenue Agency (CRA) provides a free income tax service to individuals and couples who have lower incomes and simple tax situations | Call 306-668-2762 to be added to our list, we will prepare taxes for clients on a first come first serve basis",
,FINANCIAL SUPPORT SERVICES,Seniors Income Plan (SIP) Ministry of Social Services,2045 Broad St Regina (SIP department on third floor) SK S4P 3T7,306-787-2681 or 306-787-3700 Toll Free: 1-800-667-7161,,http://www.saskatchewan.ca/residents/family-and-social-support/seniors-services/financial-help-for-seniors,"Mon-Fri 8am-5pm, closed 12pm-1pm",Senior Income Plan to assist senior citizens to meet their basic needs | You are eligible for SIP if you are 65 years of age or older; you are a permanent resident of Saskatchewan; you receive full or partial OAS and GIS; and you have an annual income below a specific level,
,FINANCIAL SUPPORT SERVICES,Service Canada-Canada Pension Plan (CPP) Old Age Security (OAS),"Market Mall, Unit 120-2325 Preston Ave Saskatoon SK S7J 2G2",1-800-277-9914,,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,Mon-Fri 8:30am-4pm (office) 8:30am-4:30pm (call centre),"Provides information and assistance for persons inquiring about or making applications under: | Canada Pension Plan (CPP), retirement pension | Death benefits, surviving spouses, orphans benefits | Disability, including benefits for children of disabled contributors | Division of unadjusted pensionable earnings (in case of divorce), assignment of retirement pension | Seven-year child rearing drop-out provision | Old Age Security, Guaranteed Income Supplement (GIS) | Basic Old Age Security (OAS), Spousal Allowance, Allowance for survivor",
,FINANCIAL SUPPORT SERVICES,Veterans Affairs Canada,101-22nd St E (5th Floor) Saskatoon SK S7K 0E1,,information@veterans.gc.ca,www.veterans.gc.ca,Mon-Fri 8:30am-4:30pm,"Counseling and referral services | Financial assistance based on military service: Veterans Independence Program, | Disability Pension, War Veterans Allowance, Veterans Death Benefits available | Treatment benefits: glasses, dental, hearing aids, drugs, prostheses | Call 1-800-268-7708 to speak to a mental health professional. Available 24/7 | VIP Program offers support to maintain independence",
,FINANCIAL SUPPORT SERVICES,VikingCares Personal Health Plans,,,,,,,
,FITNESS AND RECREATION,Bridge City Senior Action,2020 College Dr Saskatoon SK S7N 2W4,306-931-8053 (Sheila),,,,"At the Saskatoon Fieldhouse, Tuesday and Thursday; 9:30am-10:30am (September- June) | Fitness class for age 55+ | Staying active at your own pace | Cardio, Muscle Toning, and Stretching",Annual fee of $25.00 and $4.00 per session
,FITNESS AND RECREATION,The First Step Program,Field House 2020 College Drive Saskatoon SK S7N 2W4,306-975-3121,,,Four month Program attending Tuesday and Thursday - morning and/or evening times available. Continue as a grad following the program adding Saturdays to exercise 3 times/week.,,"For more information or to apply, call 306-975-3121 or visit saskatoon.ca/firststep."
,FITNESS AND RECREATION,Forever…in motion - Community Older Adult – Saskatchewan Health Authority,"Community Health Centre at Market Mall #55-2325 Preston Ave., Saskatoon SK, S7J 2G2",306-844-4080,foreverinmotion@saskhealthauthority.ca,https://www.saskhealthauthority.ca/your-health/conditions-diseases-services/forever-motion,,"What is Forever...in motion? | Safe physical activity classes for older adults led by staff or peer volunteer leaders that have taken the Forever…in motion training | Falls reduction and injury prevention through group physical activity programs | Classes are in seniors housing, community centers, churches, and condominiums | Time and length of classes vary depending on location | Either no or low cost to attend and depends on the site | Classes include endurance, strength, balance and flexibility components with a strong focus on falls reduction and injury prevention | Forever…in motion leader training offered at a very low cost for volunteers | Supported by the Community Older Adult team and the Saskatchewan Health Authority | Contact us to find out about a Forever…in motion site near you!",
,FITNESS AND RECREATION,Hunter’s Bowling,,Eastview: 306-373-4333; Fairhaven: 306-382-2822,,www.huntersbowling.com,,"Fun and league bowling | No experience necessary, just willingness to have fun! | Both locations have a restaurant",
,FITNESS AND RECREATION,ProActive Fitness,#5 3602 Taylor St E Saskatoon SK S7H 5H9 Phone: 306-374-3013,,info@proactivefit.ca,www.proactivefit.ca,Training by appointment only. Calls answered 9am-4 pm Mon-Thurs; 9 am- 1pm Fri,,
,FITNESS AND RECREATION,Leisure Centres,,,,,Facility hours vary depending on leisure centre,"Fitness, sport, recreation and culture | Programs for seniors",
,FITNESS AND RECREATION,Saskatchewan Senior Fitness Association,"Unit 164, 227 Saguenay Dr Saskatoon SK S7K 6G4",,ssfakraus@gmail.com,,Mon-Fri 9am-5:30pm,"Participate in activities and workshops, encourage seniors to interact with other seniors with similar interests | SSFA Prov 55+ Games held every two years, the next games are in 2027",Membership $20.00/year beginning April
,FITNESS AND RECREATION,Saskatoon Pilates,,306-955-2965,studio@saskatoonpilates.ca,saskatoonpilates.ca,,"For class and other information, please visit our website or contact the studio",
,FITNESS AND RECREATION,Saskatoon Soccer Centre,150 Nelson Rd Saskatoon SK S7S 1P5,306-975-3400 Fax: 306-975-3407,info@saskatoonsoccer.com,www.saskatoonsoccer.com,Call for times,"Multi-purpose facility: soccer, volleyball, football, fitness center, gymnasium, ultimate disc, beach volleyball | Modified programs for older adults available",
,FITNESS AND RECREATION,YMCA,25-22nd St E Saskatoon SK S7K 0C7,306-652-7515 Fax: 306-652-2828,ymca@ymcasaskatoon.org and memberservices@ymca.ca,www.ymcasaskatoon.org,,"Multi-purpose facility: gymnasium, swimming pool, aqua fitness, zumba, yoga, squash and racquetball courts, fitness center, massage therapist, martial arts, aerobics fitness",
,FITNESS AND RECREATION,YWCA’s Fitness on 25th,510-25th St E Saskatoon SK S7K 4A7,306-244-7034,fitnessinquiry@ywcasaskatoon.com,https://www.ywcasaskatoon.com/fitness-on-25th/,,"We provide the largest variety of programming focused on keeping our senior population healthy and vibrant in their golden years, while remaining extremely cost effective.",Senior’s Membership – Ages 60 and over
,FOOD/GROCERY/MEAL DELIVERY,Catering by Sharon,,306-242-8195,,,Monday - Saturday 8:30am-5pm,"Special occasion catering (i.e. small weddings, birthdays, anniversaries, staff parties, baking trays, funerals, etc.) | Personal Chef Services | Specializing in diabetic, gluten-free, renal (kidney) diets | Contact Sharon for further consultation",
,FOOD/GROCERY/MEAL DELIVERY,CHEP Good Food Inc.,204-1120 20th St W Saskatoon SK S7M 0Y8,306-655-4575 Fax: 306-668-4574,,www.chep.org,,"Community Markets bring healthy food and pantry staples to the core neighbourhood in Saskatoon where access to affordable fruits and vegetables are limited (Website: https://www.chep.org/community-markets/) | Offer Gardening Outreach and educational opportunities to community gardens, organizations, schools, community groups, etc.; includes garden tours, workshops, presentations, etc. | Offer Nutrition & Cooking Outreach in partnership with other organizations, schools, community groups, etc.; includes workshops, presentations, etc. | Collective Kitchen is a small group of people who pool their resources to make healthy, low cost, and delicious food in bulk that they take home.",
